#
#                              distance (vertice unit) / time (seconds) / angle (degrees)
#
#       X          Y          Z                    V                            VC                               J                            AccT                 Radi   
     6.22681    0.49141    4.71365         -1.188980003253073E-05         -2.344583205142821E-07         -1.212425835304501E-05          1.117562010350348E-06    7.82516
     5.16282    0.49481    4.68843         -1.202548117220872E-05         -1.616530928423981E-07         -1.218713426505112E-05          1.119404142650079E-06    6.99149
     5.15952   -0.49053    4.67944         -1.203700565642654E-05         -1.614229877455076E-07         -1.219842864417204E-05          1.119126839465008E-06    6.98273
     6.22350   -0.49393    4.70467         -1.190271164965477E-05         -2.342262530314540E-07         -1.213693790268623E-05          1.117202918095695E-06    7.81728
     8.04320    0.68424    4.61978         -1.159018315133393E-05         -3.915870683748323E-07         -1.198177021970877E-05          1.101455575991932E-06    9.30073
     6.97682    1.18271    4.65083         -1.176325288180022E-05         -3.009246096974953E-07         -1.206417749149772E-05          1.110488205522946E-06    8.46788
     6.44309    2.15648    4.57734         -1.175924697597939E-05         -2.774215351762990E-07         -1.203666851115569E-05          1.107923241953863E-06    8.19243
     4.95438    2.15473    4.56717         -1.192817776499921E-05         -1.754098862634944E-07         -1.210358765126271E-05          1.110991908997697E-06    7.07445
     4.42413    1.18435    4.61543         -1.206870276690193E-05         -1.260529609888164E-07         -1.219475572789075E-05          1.115359451421199E-06    6.50214
     3.38392    0.69267    4.54741         -1.216653349775501E-05         -7.169783094048662E-08         -1.223823132869549E-05          1.110304337329939E-06    5.71049
     3.38616   -0.67594    4.53991         -1.217441658049616E-05         -7.165128743001928E-08         -1.224606786792618E-05          1.110237680462867E-06    5.70384
     4.42307   -1.16961    4.59895         -1.208996378666094E-05         -1.257879130277859E-07         -1.221575169968873E-05          1.114947061786035E-06    6.48705
     4.94688   -2.13911    4.55243         -1.195826865721303E-05         -1.745605896426987E-07         -1.213282924685573E-05          1.110152567527781E-06    7.05493
     6.42835   -2.15647    4.57590         -1.178372061402542E-05         -2.762810234506748E-07         -1.206000163747609E-05          1.106886744175271E-06    8.18003
     6.96852   -1.19036    4.64765         -1.177840249831586E-05         -3.003381205136982E-07         -1.207874061882955E-05          1.109790215780629E-06    8.46037
     8.03820   -0.70349    4.62559         -1.159218607569736E-05         -3.912643603061850E-07         -1.198345043600355E-05          1.101202009039606E-06    9.30073
     9.67233    0.70615    4.40210         -1.123697355925251E-05         -5.652094525617040E-07         -1.180218301181421E-05          1.074844266327577E-06   10.65040
     8.85672    1.40327    4.47526         -1.139676696563454E-05         -4.832279448488724E-07         -1.187999491048341E-05          1.086663306863468E-06   10.02191
     8.55463    2.62907    4.34244         -1.136300266426697E-05         -4.813237606191486E-07         -1.184432642488612E-05          1.081424755961504E-06    9.94739
     7.20739    2.88381    4.41346         -1.158119673891707E-05         -3.621496884337794E-07         -1.194334642735085E-05          1.094764383762454E-06    8.92981
     6.46151    3.60173    4.29466         -1.158925216498197E-05         -3.288614302263545E-07         -1.191811359520832E-05          1.090728145760235E-06    8.55381
     4.93052    3.61704    4.31110         -1.173320048707374E-05         -2.247135801170633E-07         -1.195791406719080E-05          1.094163908231082E-06    7.48189
     4.18770    2.89737    4.41974         -1.189720099895049E-05         -1.558356536555665E-07         -1.205303665260605E-05          1.101114169236033E-06    6.74282
     2.85243    2.64390    4.34162         -1.199202163527882E-05         -9.090309241794030E-08         -1.208292472769676E-05          1.093000257499815E-06    5.82891
     2.57891    1.40958    4.42103         -1.215271666978444E-05         -5.190827010967208E-08         -1.220462493989411E-05          1.098362024999958E-06    5.30878
     1.78610    0.72435    4.33462         -1.221534850339718E-05         -2.232434358697767E-08         -1.223767284698416E-05          1.088656811267960E-06    4.74382
     1.79221   -0.69959    4.32967         -1.221641517784755E-05         -2.224376539662424E-08         -1.223865894324417E-05          1.088867096099809E-06    4.73788
     2.58725   -1.38296    4.40858         -1.216389692100901E-05         -5.172062932574795E-08         -1.221561755033476E-05          1.098458740978195E-06    5.29548
     2.85327   -2.61870    4.33975         -1.199764147234683E-05         -9.013494983537611E-08         -1.208777642218221E-05          1.093008474278950E-06    5.81654
     4.17599   -2.88118    4.42455         -1.190981096899866E-05         -1.546852821858992E-07         -1.206449625118456E-05          1.100677320919864E-06    6.73177
     4.90725   -3.62347    4.34760         -1.172624363740935E-05         -2.236174804164421E-07         -1.194986111782579E-05          1.093689971648659E-06    7.49081
     6.44719   -3.63482    4.35026         -1.157222684000840E-05         -3.291894857661789E-07         -1.190141632577458E-05          1.089465396107721E-06    8.58504
     7.19740   -2.90989    4.45068         -1.157712009652752E-05         -3.621927298739738E-07         -1.193931282640149E-05          1.093392627079472E-06    8.94866
     8.54765   -2.67025    4.38629         -1.134946657816276E-05         -4.819171352884194E-07         -1.183138371345118E-05          1.080093060796455E-06    9.97156
     8.84828   -1.42995    4.48944         -1.139937345881477E-05         -4.827847661255784E-07         -1.188215822494034E-05          1.086009061370802E-06   10.02457
     9.66889   -0.73935    4.41047         -1.123608397484304E-05         -5.650986370755817E-07         -1.180118261191862E-05          1.074487099704298E-06   10.65300
    11.11095    0.68954    4.05173         -1.087581595326272E-05         -7.447493887363487E-07         -1.162056534199907E-05          1.040733468485424E-06   11.84674
    10.45872    1.41470    4.17512         -1.101753128563296E-05         -6.693763513820275E-07         -1.168690763701499E-05          1.054311637649881E-06   11.34980
    10.29876    2.71580    4.02246         -1.095317491849355E-05         -6.817181780970173E-07         -1.163489309659056E-05          1.046751725146140E-06   11.38509
     9.21028    3.23305    4.11661         -1.116075200394273E-05         -5.725965878054671E-07         -1.173334859174820E-05          1.062394538354074E-06   10.59379
     8.60600    4.17293    3.94524         -1.115795850818915E-05         -5.497289908243985E-07         -1.170768749901355E-05          1.057746439265780E-06   10.34609
     7.20447    4.28688    4.05227         -1.138630628069111E-05         -4.223583284492285E-07         -1.180866460914033E-05          1.073382261266416E-06    9.31142
